ax, x, bx, ay, y, by, log.sigma.x, log.sigma.y, rho.tilde 
NA,4.60517,NA,NA,4.60517,NA,-4.51588,-4.51588,0
4.60438,4.60662,4.61647,4.58308,4.58401,4.6121,-4.49267,-4.53114,1.38629
4.58835,4.58886,4.61364,4.56983,4.57011,4.59234,-4.20284,-4.40382,1.38629
4.57033,4.57633,4.58944,4.55232,4.56775,4.5721,-4.03407,-4.62664,1.38629
4.56325,4.56562,4.58708,4.56124,4.56713,4.57481,-4.45563,-4.7429,1.38629
4.54736,4.54754,4.57023,4.56424,4.56685,4.57678,-4.46319,-4.58511,1.38629
4.5416,4.55372,4.55817,4.55846,4.56974,4.57195,-4.46693,-4.80888,1.38629
4.54445,4.54773,4.55916,4.55943,4.56236,4.5747,-4.58332,-4.77358,1.38629
4.54228,4.55291,4.56345,4.56122,4.56724,4.57644,-4.43844,-4.86522,1.38629
4.54067,4.54747,4.5565,4.55042,4.55835,4.56935,-4.55,-4.85944,1.38629
4.5388,4.5466,4.54909,4.54524,4.54726,4.5592,-4.66563,-4.9984,1.38629
4.54195,4.54862,4.54974,4.53891,4.53978,4.54792,-4.55755,-5.05582,1.38629
4.54472,4.54485,4.556,4.53799,4.54704,4.54855,-4.60717,-5.20766,1.38629
4.54003,4.54547,4.55114,4.54659,4.55094,4.55606,-4.70714,-5.18746,1.38629
4.54206,4.55255,4.55635,4.5475,4.55187,4.5538,-4.69655,-5.3088,1.38629
4.55134,4.55786,4.55993,4.54795,4.55436,4.55579,-4.71919,-5.04279,1.38629
4.55557,4.55762,4.56542,4.55286,4.56246,4.56545,-4.75232,-5.08111,1.38629
4.54614,4.54895,4.55944,4.55545,4.55764,4.56301,-4.77319,-5.51446,1.38629
4.54539,4.55093,4.55274,4.55627,4.5602,4.56192,-4.66979,-5.50772,1.38629
4.54943,4.55849,4.56249,4.55835,4.56043,4.56242,-4.70697,-5.37091,1.38629
4.55611,4.5671,4.56979,4.55762,4.5687,4.56919,-4.43118,-5.42775,1.38629
