mean_log_sigma_x, var_log_sigma_x,mean_log_sigma_y, var_log_sigma_y,mean_rho_tilde, var_rho_tilde, NA
-4.44826,0.200803,-5.32825,1.03512,1.37981,3.90703e-05,
-4.35712,0.189537,-5.61993,0.917653,1.38786,0.000107146,
-3.89104,0.132573,-4.20183,0.184383,1.39409,4.36629e-05,
-4.05475,0.0411873,-4.14448,0.112843,1.39034,0.000268023,
-3.94756,0.0377295,-4.14693,0.0475449,1.3885,0.00037402,
-3.99453,0.0361581,-4.11944,0.024395,1.39157,0.000391332,
-3.89045,0.0377186,-4.22252,0.0260006,1.39167,0.000372402,
-3.84869,0.0470632,-4.37034,0.0249243,1.39782,0.000585639,
-3.9644,0.0239057,-4.48264,0.067289,1.39458,0.00122773,
-4.00427,0.0336003,-4.58904,0.0314267,1.38996,0.00129512,
-4.06525,0.0360915,-4.59731,0.00633975,1.35631,0.000513033,
-4.07562,0.044132,-4.56262,0.0344957,1.36163,0.000514627,
-4.2723,0.00922574,-4.64732,0.0227635,1.36217,0.000265971,
-4.3429,0.0228268,-4.63999,0.0361467,1.36342,0.000265128,
-4.48059,0.0206889,-4.52694,0.038566,1.36743,0.000103749,
-4.45772,0.036349,-4.39771,0.0136109,1.37996,0.000270671,
-4.53336,0.0511571,-4.45494,0.0312699,1.37806,0.000526976,
-4.36778,0.0345571,-4.51522,0.0373235,1.37492,0.00046818,
-4.45989,0.0354051,-4.53558,0.0255454,1.3741,0.000294364,
